Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
fagoteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui fait des fagots,,DE
faïencier,,,,,V,-er/-ère,,C,Dérivation,ier,Autre,N de Profession ,personne qui fabrique des objets en faïence,,DE
fainéant,,,,,V,-/-e,,C,Dérivation,ant,N de Caractérisant,N de Défaut moral,"Personne paresseuse, oisive",,DE
faire-valoir,,,,,M,NP,,C,Composition,NP,Autre,,Personne qui met en valeur une autre personne,,DE
faisandier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui élève des faisans,,DE
faiseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,Personne qui agit ou qui crée quelque chose,,DE
Falairot,,,,,V,-ot/-otte,,C,Dérivation,ot,N de Population (Gentilé), Ville,Personne qui habite dans la commune Falaise,,DF-
Falconien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune Faucogney-et-la-Mer,,DF-
Fallencourtois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune Fallencourt,,DF-
Fanlacois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune Fanlac,,DF-
Faouëtien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune Le Faouët (Côtes-d’Armor),,DF-
Faranchin,,,,,V,Autre,-in/ -ine,C,Dérivation,in,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Villar-d’Arêne,,DF-
Fargien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Farges,,DF-
Fargussien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune d'Auffargis,,DF-
Fatinois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fatines,,DF-
Fauvillais,,,,,V,Autre,-ais/ -aise,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fauville,,DF-
Favergien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Faverges,,DF-
Faviérois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Favières,,DF-
Favrilois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Favril,,DF-
Fayençois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fayence,,DF-
Fécampois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fécamp,,DF-
Fégréacais,,,,,V,Autre,-ais/ -aise,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fégréac,,DF-
Felonais,,,,,V,Autre,-ais/ -aise,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Felon,,DF-
femme,,,,,F,NP,,NC,NP,NP,N Général,,Personne de sexe féminin ou qui a une identité de genre féminine,,DE
Fercéen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fercé,,DF-
Féringien,,,,,V,Autre,-ien/ -ienne,C,Dérivation,ien,N de Population (Gentilé), Pays,Personne qui vit aux Îles Féroé,,DF-
Fermanvillais,,,,,V,Autre,-ais/ -aise,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite dans la commune de Fermanville,,DF-
Fermetois,,,,,V,Autre,-ois/ -oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite dans la commune de La Fermeté,,DF-
Férois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fère-en-Tardenois,,DF-
Ferralais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Ferrals-les-Montagnes,,DF-
Ferrarais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Ferrare,,DF-
Ferriérois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Ferrière-la-Grande,,DF-
Ferrois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite aux Ferres,,DF-
Ferruccien,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite à Saint-Fergeux,,DF-
Fertésien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à La Ferté-Beauharnais,,DF-
Fertrévois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fertrève,,DF-
Festalinois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Festalemps,,DF-
Fidésien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Sainte-Foi,,DF-
Fierboisien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Sainte-Catherine-de-Fierbois,,DF-
Figeacois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Figeac,,DF-
Finésien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Feignies,,DF-
Finlandais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Pays,Personne qui habite en Finlande,,DF-
Fismois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fismes,,DF-
Flacourtois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Flacourt,,DF-
Flainois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Flaine,,DF-
Flassanais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Flassans-sur-Issole,,DF-
Flavignien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Flavigny,,DF-
Fléchois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à La Flèche,,DF-
Flérien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Flers,,DF-
Flétois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fléty,,DF-
Fleurance,,,,,V,-/-e,,C,Dérivation,in,N de Population (Gentilé), Ville,Personne qui habite à Fleurance,,DF-
Fleurignéen,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite à Fleurigné,,DF-
Fleuryssois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fleury-les-Aubrais,,DF-
Flexanvillois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habité à Flexanville,,DF-
Flixecourtois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habité à Flixecourt,,DF-
Flocquais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habité à Flocques,,DF-
Floracois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habité à Florac,,DF-
Florensacois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habité à Florensac,,DF-
Florentin,,,,,V,-/-e,,C,Dérivation,in,N de Population (Gentilé), Ville,Personne qui habité à Florence,,DF-
Florimontois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habité à Florimont,,DF-
Foeillais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habité au Fœil,,DF-
Follainvillois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Follainville-Dennemont,,DF-
Fonchois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fonches-Fonchette,,DF-
Fongueusemarais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Fongueusemare,,DF-
Fontain,,,,,V,-ain/-ine,,C,Dérivation,ain,N de Population (Gentilé), Ville,Personne qui habite à Fontaine-sous-Préaux,,DF-
Fontainien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Fontaine,,DF-
Fontanien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Fontanes,,DF-
Fontenaisien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Fontenay,,DF-
Fontenellois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Fontenelle,,DF-
Fontigeorgien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Saint-Georges-sur-Fontaine,,DF-
Forbachois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Forbach,,DF-
Forcalquiéren,,,,,V,-en/-enne,,C,Dérivation,en,N de Population (Gentilé), Ville,Personne qui habite à Forcalquier,,DF-
Forestain,,,,,V,-/-e,,C,Dérivation,ain,N de Population (Gentilé), Ville,Personne qui habite à La Forêt-le-Roi,,DF-
Forestois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Forest-sur-Marque,,DF-
Forfrysien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Forfry,,DF-
gagiste,,,,,E,NP,,C,Dérivation,iste,N de Bénéficiaire,,Personne qui reçoit des gages pour des services rendus.,,DS
gagnant,,,,,V,Autre,"gagnant, gagnante",C,Dérivation,ant,N de Bénéficiaire,,Personne qui gagne.,,DS
galopin,,,,,M,NP,,C,Dérivation,in,N d'Agent,,Jeune personne qui fait des commissions. / Garçon espiègle et qui court les rues.,,DS
gamer,,,,,M,NP,,NC,Emprunt,NP,N d'Agent,N de Pratique ,Joueur de jeux vidéo.,,DS
gamin,,,,,V,Autre,"gamin, gamine",NC,NP,NP,N d’Âge,,Petit garçon.,,DS
gantier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui fait ou qui vend des gants.,,DS
garagiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui possède un garage et qui entretient et répare les voitures.,,DS
garant,,,,,V,-/-e,"garant, garante",C,Dérivation,ant,N d'Agent,,Personne qui se porte responsable de quelque chose.,,DS
garçon,,,,,M,NP,,NC,NP,NP,N d’Âge,,Jeune personne de genre masculin.,,DS
garçon de café,,,,,M,NP,,C,Composition,NP,N d'Agent,N de Profession ,Employé de bar ou de café qui assure le service.,,DS
garde du corps,,,,,M,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne ou professionnel assure la protection de personnes dont la sécurité peut être menacée.,,DS
gardien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,"Personne ou professionnel qui assure la garde, la surveillance ou la protection de quelqu'un ou de quelque chose.",,DS
gardien de but,,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Pratique ,"Joueur dont le rôle est spécifiquement d’empêcher la balle ou le palet d’entrer dans le but dans des sports collectifs tels que le handball, le football, etc.",,DS
gastronome,,,,,E,NP,,C,Composition,NP,Autre,,Personne qui aime et sait apprécier la bonne nourriture.,,DS
gendarme,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,"Militaire appartenant à un corps particulier, chargé de maintenir la sécurité et la tranquillité publique.",,DS
gendre,,,,,M,NP,,NC,NP,NP,N Relationnel ,Parenté,Mari de la fille.,,DS
général,,,,,M,NP,,NC,NP,NP,N de Statut,Grade,Officier supérieur du grade le plus élevé dans la hiérarchie militaire.,,DS
génois,,,,,V,Autre,"Génois, Génoise",C,Dérivation,ois,N d’Habitant, Ville,Habitant de Gênes,,DS
géographe,,,,,E,NP,,C,Composition,NP,N d’Âge,N de Spécialité,Spécialiste ou enseignant de géographie.,,DS
géologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Spécialiste de la géologie,,DS
géomètre,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,"Spécialiste de la géométrie, professionnel chargé du relevé et de la délimitation des terrains.",,DS
géophysicien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Spécialité,Spécialiste de la géophysique.,,DS
gérant,,,,,V,-/-e,,C,Dérivation,ant,N d'Agent,N de Fonction,Personne qui gère une société ou un bien.,,DS
gestaltiste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Adepte ou spécialiste de la gestalt-theorie.,,DS
gestionnaire de réseau,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne chargée de la gestion des réseaux.,,DS
glacier,,,,,V,-er/-ère,,C,Dérivation,ier,N d’Âge,N de Profession ,Personne qui fabrique et vend des glaces.,,DS
globe-trotter,,,,,E,NP,,NC,Emprunt,NP,N d’Âge,N de Pratique ,Personne effectuant de nombreux voyages à travers le monde.,,DS
gourmet,,,,,M,NP,,NC,NP,NP,Autre,,Personne ayant l'aptitude à apprécier les vins et les plats raffinés.,,DS
gouvernante,,,,,F,NP,,C,Dérivation,ant,N d'Agent,N de Profession ,Employée de sexe féminin chargée de l'éducation des enfants.,,DS
gouverneur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,"Personne de sexe masculin chargée d'administrer une province, un état, une colonie ou un grand établissement financier.",,DS
grammairien,,,,,V,-/-e,,C,Dérivation,ien,N d'Agent,N de Spécialité,Spécialiste de la grammaire.,,DS
grand-père,,,,,M,NP,,C,Composition,NP,N Relationnel ,Parenté,Père de la mère ou du père.,,DS
graphiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Dessinateur chargé de la conception des projets graphiques.,,DS
graveur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,Auteur de gravures.,,DS
Grec,,,,,V,-c/-que,,NC,NP,NP,N de Population (Gentilé), Pays,Habitant de la Grèce.,,DS
grenadien,,,,,V,Autre,"Grenadien, Grenadienne",C,Dérivation,ien,N d’Habitant, Pays,Habitant / originaire de la Grenade.,,DS
grenoblois,,,,,V,Autre,"Grenoblois, Grenobloise",C,Dérivation,ois,N d’Habitant, Ville,Habitant / originaire de Grenoble.,,DS
gréviste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui fait grève.,,DS
grimpeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui grimpe ou qui fait de l'alpinisme.,,DS
grossiste,,,,,V,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne dont le métier est de faire du commerce en gros.,,DS
grutier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne dont le métier est de conduire une grue de chantier.,,DS
guatémalien,,,,,V,Autre,"Guatémalien, Guatémalienne",C,Dérivation,ien,N d’Habitant, Pays,Habitant / originaire du Guatemala.,,DS
guérisseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui guérit. ,,DS
gueux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,,"Personne de mauvaise apparence, pauvre et marginalisée.",,DS
guichetier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Employé(e) dans l'administration qui travaille à un guichet.,,DS
guide,,,,,E,NP,,C,Conversion,NP,N d’Âge,N de Profession ,Personne dont le métier est de guider les touristes ou les visiteurs.,,DS
guignol,,,,,M,NP,,NC,NP,NP,N de Caractérisant,,"Personne ridicule ou comique, pitre.",,DS
guitariste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,Musicien/ne qui joue de la guitare.,,DS
gymnaste,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Pratique ,"Personne qui pratique la gymnastique, qui fait des exercices de gymnastique.",,DS
gynécologue,,,,,E,NP,,C,Composition,NP,N d’Âge,N de Spécialité,Spécialiste de la gynécologie.,,DS
habilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,personne qui a la fonction d'habiller quelqu'un ou quelque chose,,FB
habitant,,,,,V,-/-e,,C,Dérivation,ant,N Général,,personne qui occupe un espace,,FB
habitudinaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,,personne qui commet toujours le même péché,,FB
habitué,,,,,V,-/-e,,C,Dérivation,é,N d'Agent,,celui qui a l'habitude de faire une certaine action notamment de fréquenter un même lieu,,FB
hacker,,,,,E,NP,,NC,Emprunt,NP,N d'Agent,,celui qui cherche à contourner les protections d'un logiceel et à s'introduire frauduleusement dans un système informatique,,FB
hagiologue,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Spécialité,personne qui étudie l'hagiologie (les choses saintes),,FB
halieute,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Profession ,L'halieute protège les espèces de poissons menacées de surpêche. Son expertise permet d'évaluer les stocks et de réglementer les méthodes de capture. Il s'intéresse aussi à l'élevage aquacole et contribue à préserver l'environnement marin.,,FB
haltérophile,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Pratique ,celui qui pratique l'haltérophilie,,FB
handballeur,,,,,V,-eur/-euse,"handballeur, handballeure",C,Dérivation,euse,N d'Agent,N de Pratique ,celui pratique le handball,,FB
handicapé,,,,,V,-/-e,,C,Dérivation,é,N de Caractérisant,,personne affectée d'une déficience physique ou morale,,FB
handicapeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,celui qui prépare un handicap,,FB
happeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,celui qui s'empare avidemment de quelque chose ,,FB
harangueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,celui fait une harangue,,FB
harceleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Défaut moral,"celui qui harcèle, qui insiste de manière angoissante et répétitive",,FB
harmoniciste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,celui qui joue de l'harmonica,,FB
harmonisateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N d’Interprète,personne qui harmonise une mélodie ou un air,,FB
harmoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,musicien qui connait les lois  de l'harmonie,,FB
harpagon,,,,,M,NP,,NC,Conversion,NP,N de Caractérisant,N de Défaut moral,personne d'une grande avarice,,FB
harpie,,,,,F,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,"vieilli. Personne avide et rapace. 
 Fam. Femme méchante et acariâtre
TLFI",,FB
harpiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,Personne qui joue de la harpe. ,,FB
hasardeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,celui qui hasarde,,FB
haussier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,celui spécule à la hausse sur les valeurs boursières,,FB
haveur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,"Ouvrier qui creuse (surtout en wallon)
de haver 'creuser'
TLFI",,FB
hawaïen ,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant, Pays,personne qui est des îles Hawaï ,,FB
heaumier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,celui qui fabrique des heaumes,,FB
hébertiste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,partisan de la doctrine du révolutionnaire J.-R. Hébert,,FB
hédoniste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,celui qui pratique ou préconise l'hédonisme,,FB
heimatlos,,,,,E,NP,,NC,Emprunt,NP,N de Statut,,"(Personne) qui est dépourvu(e) de nationalité légale,",,FB
helléniste 2,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,personne qui est spécialiste de la langue ou littérature grecque,,FB
helminthologiste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,spécialiste des vers  parasites,,FB
helvète,,,,,E,NP,,NC,NP,NP,N de Population (Gentilé), Pays,"Helvète renvoie à une réalité anc. et il est auj. remplacé par suisse; on le relève cependant avec une valeur littér. ou plaisante. 
TLFi",,FB
hépatologue,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Spécialité,spécialiste du foi,,FB
héraut,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Pratique ,"Celui qui annonce la venue de quelqu'un ou de quelque chose ou qui en chante les louanges
TLFi
NB:Moyen âge : Officier public dont le rôle est de transmettre les messages jugés les plus importants, de régler les jeux et les cérémonies, de s'occuper des blasons
",,FB
herbager,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Profession ," Celui, celle qui vend des herbes et des légumes verts. (vieilli)
TLFi",,FB
herbivore,,,,,E,NP,,C,Dérivation,NP,N d'Agent,,Animal qui se nourrit d'herbes ou d'autres substances végétale,,FB
herborisateur,,,,,V,-er/-rice,,C,Dérivation,teur,N d'Agent,N de Spécialité,celui qui herborise ou fait des herborisations,,FB
herboriste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,"Personne qui connaît les plantes, se livre à l'étude de la botanique
TLFi
Personne qui vend des produits à base de plantes
(FB)",,FB
hercheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Fonction,"Celui, celle qui herche, qui pousse les wagonnets de minerai dans les mines. ",,FB
hercule,,,,,E,NP,,NC,Conversion,NP,N de Caractérisant,,"Homme le plus souvent de forte carrure, doué d'une grande force physique; Personne capable d'exploits de tous ordres. 
TLFi",,FB
hère,,,,,M,NP,,NC,NP,NP,N de Caractérisant,,"Homme dont la vie est médiocre, difficile
TLFi",,FB
hérésiologue,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Spécialité,celui qui écrit sur les hérésies,,FB
hérétique,,,,,E,NP,,C,Dérivation,NP,N de Caractérisant,N de Défaut moral,"(Ce, celui, celle) qui professe, défend l'hérésie.",,FB
hermaphrodite,,,,,E,NP,,NC,Conversion,NP,N de Caractérisant,,Qui réunit les caractères ou certains caractères des deux sexes.,devient statut dans le langage juridique (?),FB
herméneute,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Spécialité,celui qui explique ou interprète,,FB
héroïnomane,,,,,E,NP,,C,Emprunt,NP,N d’Adepte/de Partisan,N de Pratique ,"Celui, celle qui est intoxiquée à l'héroïne. ",,FB
héros,,,,,V,Autre,héroïne,NC,NP,NP,N de Caractérisant,N de Qualité morale," Homme, femme qui incarne dans un certain système de valeurs un idéal de force d'âme et d'élévation morale.
Homme, femme qui fait preuve, dans certaines circonstances, d'une grande abnégation
Combattant(e) remarquable par sa bravoure et son sens du sacrifice",,FB
hétaïre,,,,,F,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,"femme de mauvaise vie
TLFi",,FB
hétérosexuel,,,,,V,-el/-elle,,C,Composition,NP,N Général,,Personne attirée par le sexe opposé,devient nom de statut (?),FB
heurteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,celui heurte,,FB
hidalgo,,,,,M,NP,,NC,Emprunt,NP,N de Caractérisant,N de Qualité morale,Homme à l'esprit chevaleresque et idéaliste,,FB
highlander,,,,,M,NP,,NC,Emprunt,NP,N de Caractérisant,,Homme avec les caractéristiques des  habitants des Highlands.,,FB
highlifeur,,,,,E,NP,,NC,Emprunt,NP,N de Caractérisant,Membre,celui qui fait partie de la haute société,,FB
hindou,,,,,E,NP,,NC,Emprunt,NP,N d’Adepte/de Partisan,N de Pratique ,un hindou est celui qui  pratique la religion hindouiste,,FB
"hippie, hippy",,,,,E,NP,,NC,Emprunt,NP,N d’Adepte/de Partisan,, Qui est influencé par le goût et le genre de vie hippie,,FB
hippotomiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,spécialiste de l'anatomie du cheval,,FB
hispaniste,,,,,E,NP,,C,Dérivation,iste,N de Caractérisant,,"Personne qui est spécialiste des études relatives à la langue, littérature. histoire, culture espagnoles (pris au sens large)",,FB
hispano-américain,,,,,V,-ain/-ine,,C,Composition,NP,N de Population (Gentilé),Supranational,originaire  des pays compris dans  cette région,,FB
histologiste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,spécialiste en histologie,,FB
"historien-moraliste,",,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Spécialité,Celui ou celle qui fait œuvre à la fois d'historien (historienne) et de moraliste. ,,FB
historieur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,celui qui illustrait les manuscrits du Moyen âge,,FB
historiographe,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Profession ,celui écrit l'histoire d'un souverain ou dune époque officiellement,,FB
histrion,,,,,E,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,celui qui se donne en spectable ou mauvais comédien,,FB
hiverneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Pratique ,celui qui séjourne pendant l'hiver dans un lieu,,FB
hocheur,,,,,V,-eur/-euse,,C,Dérivation,euse,N d'Agent,,celui qui hoche ou celui qui fait tomber les pommes à cidre,,FB
hommager,,,,,M,NP,,C,Dérivation,er,N d'Agent,N de Pratique ,celui devait l'hommage,,FB
homme de ménage,,,,,M,NP,,P,NP,NP,N d'Agent,N de Profession ,celui fait le ménage,,FB
homologue,,,,,E,NP,,NC,NP,NP,N de Caractérisant,,celui qui remplit un rôle analogue à celui d'une autre personne dans une autre structure,,FB
hongreur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,celui qui châtre les chevaux,,FB
hooligan,,,,,E,NP,,NC,Emprunt,NP,N de Caractérisant,N de Défaut moral,personne qui  des comportements asociaux ou hostiles,,FB
hoqueton,,,,,M,NP,,NC,Conversion,NP,N de Caractérisant,N de Pratique ,celui qui portait la casaque du même nom,,FB
houblon,,,,,E,NP,,NC,Conversion,NP,N d'Agent,N de Pratique ,personne qui cultive le houblon,,FB
huîtrier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,personne qui élevait ou vendait des huîtres,,FB
hymnographe,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Créateur,celui qui compose ou étudie des hymnes,,FB
hymnologue,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Créateur,auteur d'une hymnologie,,FB
hypnotiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,celui qui pratique l'hypnotisme,,FB
hypocrite,,,,,E,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,personne qui manifeste de l'hypocrisie,,FB
laborantin,,,,,M,NP,,C,Dérivation,in,N d'Agent,N de Profession ,Employé dans un laboratoire,,FN
